epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.745,1.52934,3.00511,1.30388,0.00349,0.97849,0.41523,0.21242,1.35769,3.52921,1.15431,0.00042,0.00042,0.00042
2,410.629,1.49256,2.04795,1.22243,1,0.08331,0.50069,0.26619,1.37036,3.43522,1.25087,0.00081743,0.00081743,0.00081743
3,599.63,1.52523,1.8875,1.24237,0.37972,0.31183,0.23843,0.12195,1.43632,3.20736,1.36835,0.0011713,0.0011713,0.0011713
4,792.702,1.48243,1.70329,1.22936,0.49088,0.16129,0.20254,0.08434,1.59126,3.4511,1.47274,0.00148161,0.00148161,0.00148161
5,961.502,1.53032,1.73399,1.28119,0.21635,0.38296,0.20775,0.09942,1.6004,4.05429,1.50734,0.001604,0.001604,0.001604
6,1111.29,1.52323,1.54398,1.2777,0.28061,0.46237,0.2106,0.08624,1.70228,2.88618,1.5708,0.001505,0.001505,0.001505
7,1250.39,1.52499,1.48186,1.28717,0.59999,0.62904,0.56162,0.24964,1.77641,2.12379,1.5882,0.001406,0.001406,0.001406
8,1389.98,1.46628,1.37091,1.24932,0.81677,0.74194,0.8107,0.45119,1.41424,1.62272,1.29009,0.001307,0.001307,0.001307
9,1539.41,1.4057,1.27391,1.22902,0.7707,0.64516,0.76244,0.40706,1.48749,1.56108,1.37094,0.001208,0.001208,0.001208
10,1706.61,1.3873,1.16579,1.20812,0.83993,0.77419,0.86883,0.45324,1.43409,1.37158,1.31923,0.001109,0.001109,0.001109
11,1874.61,1.4156,1.31416,1.24889,0.88588,0.64516,0.76237,0.38205,1.61707,1.70206,1.3214,0.00101,0.00101,0.00101
12,2049.06,1.35013,1.23542,1.19679,0.90083,0.80645,0.89381,0.54071,1.34523,1.18717,1.23847,0.000911,0.000911,0.000911
13,2220.62,1.33547,1.15137,1.20823,0.89631,0.83871,0.89985,0.53459,1.28869,1.16569,1.22712,0.000812,0.000812,0.000812
14,2398.12,1.27791,1.09717,1.19009,0.88051,0.87097,0.89781,0.52927,1.35794,1.05014,1.26845,0.000713,0.000713,0.000713
15,2569.09,1.32111,1.0593,1.18831,0.85473,0.90323,0.91678,0.52794,1.4264,1.0494,1.32549,0.000614,0.000614,0.000614
16,2763.33,1.27109,1.02586,1.17078,0.91181,0.84946,0.919,0.55617,1.32178,1.05361,1.25349,0.000515,0.000515,0.000515
17,2936,1.2733,0.97562,1.16254,0.91091,0.87954,0.91573,0.56813,1.30092,0.99803,1.25321,0.000416,0.000416,0.000416
18,3108.29,1.24996,0.93005,1.16849,0.89405,0.90742,0.91613,0.56087,1.26711,0.96264,1.23639,0.000317,0.000317,0.000317
19,3281.52,1.20292,0.91958,1.11262,0.91334,0.89247,0.93684,0.5712,1.27588,0.93669,1.23274,0.000218,0.000218,0.000218
20,3454.07,1.19773,0.89967,1.11937,0.91702,0.91398,0.93443,0.57297,1.26269,0.914,1.22304,0.000119,0.000119,0.000119
