epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.282,1.56622,3.21074,1.29085,0.72506,0.80645,0.78413,0.40779,1.52731,2.11217,1.26878,0.00042,0.00042,0.00042
2,994.344,1.51334,1.59987,1.24263,0.62296,0.55914,0.5912,0.29443,1.56657,2.26363,1.45781,0.00081743,0.00081743,0.00081743
3,1566.11,1.57688,1.31067,1.34554,0.7595,0.69892,0.73566,0.41671,1.55219,1.71765,1.50141,0.0011713,0.0011713,0.0011713
4,2106.55,1.52515,1.11161,1.33447,0.38277,0.22673,0.18865,0.08934,2.4154,3.22694,2.09035,0.00148161,0.00148161,0.00148161
5,2464.88,1.56834,1.2332,1.37585,0.87356,0.66864,0.75678,0.38044,1.63044,2.71817,1.77735,0.001604,0.001604,0.001604
6,2834.78,1.59294,1.10812,1.38252,0.54033,0.5914,0.53079,0.28254,1.59359,2.96463,1.53836,0.001505,0.001505,0.001505
7,3267.96,1.53733,1.10965,1.35333,0.81866,0.58255,0.72186,0.38523,1.55705,2.18453,1.47083,0.001406,0.001406,0.001406
8,3721.64,1.47761,1.00365,1.32983,0.85413,0.69261,0.82527,0.46047,1.48927,1.30225,1.49315,0.001307,0.001307,0.001307
9,4210.73,1.46454,1.00033,1.28239,0.88671,0.75745,0.84122,0.43618,1.64932,1.09746,1.54454,0.001208,0.001208,0.001208
10,4645.31,1.44744,0.93063,1.29058,0.87113,0.8172,0.85292,0.46444,1.58343,1.11341,1.48144,0.001109,0.001109,0.001109
11,5075.53,1.53712,0.98427,1.36944,0.86573,0.76262,0.82087,0.45001,1.52258,1.03025,1.43252,0.00101,0.00101,0.00101
12,5515.91,1.44428,0.94685,1.33294,0.83484,0.76097,0.80999,0.44766,1.48977,1.14688,1.43494,0.000911,0.000911,0.000911
13,5950.67,1.40157,0.86113,1.32693,0.73507,0.8172,0.78033,0.45265,1.45997,1.08578,1.36642,0.000812,0.000812,0.000812
14,6381.97,1.36981,0.85276,1.27571,0.84668,0.83135,0.8652,0.52241,1.36995,0.8588,1.3054,0.000713,0.000713,0.000713
15,6815.73,1.34569,0.79835,1.26912,0.8243,0.84946,0.88615,0.52728,1.43398,0.82698,1.38333,0.000614,0.000614,0.000614
16,7262.61,1.37125,0.82472,1.26749,0.86286,0.84946,0.89454,0.56626,1.33391,0.83762,1.32539,0.000515,0.000515,0.000515
17,7697.29,1.32285,0.7617,1.23393,0.90127,0.88343,0.9068,0.54876,1.35496,0.7951,1.33587,0.000416,0.000416,0.000416
18,8133.63,1.30086,0.72539,1.25013,0.89216,0.87097,0.90565,0.54753,1.30161,0.77646,1.28437,0.000317,0.000317,0.000317
19,8559.43,1.2545,0.70453,1.20385,0.8912,0.88172,0.90521,0.54958,1.32926,0.76793,1.30884,0.000218,0.000218,0.000218
20,8983.31,1.22723,0.69488,1.21308,0.91302,0.90292,0.918,0.5627,1.34076,0.75876,1.30549,0.000119,0.000119,0.000119
